season,last_name,first_name,average_minutes,usage,games_played,points_per30,true_shooting_proportion,free_throw_rate,three_point_rate,assists_per30,turnovers_per30,offensive_rebounds_per30,defensive_rebounds_per30,steals_per30,blocks_per30,fouls_per30,pounds_per_inch,height_inches
2003,Mathis,Emanuel,26.6,20.43854669964292,28,12.661290322580646,0.5892508632337486,0.2852424560876745,0.6080168142921484,2.0564516129032255,1.774193548387097,0.5241935483870968,2.9838709677419355,1.0483870967741935,0.4838709677419355,2.620967741935484,2.533333333333333,75
2003,Godwin,Troy,26.1,21.55251464886969,28,10.711354309165525,0.49877694542118944,0.30958569026142796,0,0.9439124487004104,2.462380300957592,3.652530779753762,5.786593707250343,0.6976744186046512,1.682626538987688,3.611491108071135,4.038461538461538,78
2003,George,Nick,29.1,16.04192851705642,28,8.566176470588236,0.5412562720683888,0.32986433748373906,0.00929195316855603,1.1029411764705883,1.9117647058823528,2.683823529411765,4.1911764705882355,0.625,0.29411764705882354,2.058823529411765,2.628205128205128,78
2003,Willie,Antoine,25.4,17.30680811245671,25,9.259842519685039,0.5258639192959862,0.3702511268512556,0.34342133505044,2.3622047244094486,1.795275590551181,0.28346456692913385,1.7480314960629921,0.8503937007874016,0.09448818897637795,2.1259842519685037,2.5,74
2003,Doles,Michael,16.4,19.435361063412543,22,12.166666666666666,0.6091455273698264,0.30040053404539385,0.2753671562082777,1.5833333333333333,1.9166666666666665,1.3333333333333335,4.75,1.6666666666666665,1.5,3.833333333333333,2.6923076923076925,78
2003,Reid,Derrick,11.8,11.963723696273394,28,4.454545454545455,0.4253472222222222,0.2604166666666667,0.05208333333333333,0.9090909090909092,2.090909090909091,2.3636363636363633,3.909090909090909,0.6363636363636364,0.4545454545454546,4.909090909090909,2.6875,80
2003,Adams,Mark,6.2,11.523455444002746,19,4.830508474576271,0.5063965884861407,0.21321961620469082,0.6396588486140724,3.305084745762712,2.288135593220339,0.2542372881355932,3.813559322033898,1.5254237288135595,0,4.576271186440678,2.3972602739726026,73
2004,Jones,Domonic,33.6,26.67214961938922,31,14.525407478427612,0.5407778634455581,0.25271995202604297,0.2205945343956138,2.214765100671141,2.444870565675935,1.1217641418983701,2.8187919463087248,0.14381591562799617,0.37392138063279007,1.6970278044103548,2.6027397260273974,73
2004,Godwin,Troy,28.9,23.700645357059646,31,12.268156424581006,0.5686055182699478,0.4225702212279393,0,1.1731843575418994,3.318435754189944,2.681564245810056,4.592178770949721,0.4692737430167598,1.6759776536312847,2.9162011173184355,3.8461538461538463,78
2004,Doles,Michael,24.1,25.59124859472527,31,13.994638069705093,0.5709410683816774,0.2592203701273133,0.3510959443496522,2.0107238605898123,2.975871313672922,1.3672922252010724,4.061662198391421,0.9249329758713136,0.4423592493297587,3.579088471849866,2.6923076923076925,78
2004,George,Nick,25.9,19.08586553170134,31,10.597014925373134,0.5833059480775551,0.41488662504107787,0.15198816956950378,1.2686567164179106,2.2761194029850746,2.2388059701492535,4.58955223880597,1.1940298507462686,0.33582089552238803,1.791044776119403,2.628205128205128,78
2004,Walker,B.A.,25.6,16.18271580173919,31,9.041614123581336,0.5784123910939013,0.1936108422071636,0.6776379477250726,3.1778058007566203,1.815889029003783,0.6431273644388399,1.853720050441362,0.9457755359394704,0,2.194199243379571,2.1621621621621623,74
2004,Pellot-Rosa,Jesse,24.4,15.546370917176372,29,7.827926657263752,0.5008663634394629,0.25449426034221356,0.444011262724713,2.157968970380818,1.4386459802538787,1.8617771509167842,3.8928067700987303,1.2693935119887163,0.5077574047954867,2.2849083215796897,2.5657894736842106,76
2004,Johnson,Drew,8.4,20.824311156027935,17,14.475524475524475,0.7175540765391015,0.14559068219633944,0.7487520798668885,0.8391608391608392,2.307692307692308,1.2587412587412588,2.5174825174825175,0.4195804195804196,0.4195804195804196,2.5174825174825175,2.6315789473684212,76
2004,Reid,Derrick,15.4,15.06014558778865,30,6.818181818181818,0.5247900839664135,0.4098360655737705,0.02998800479808077,1.103896103896104,2.4675324675324677,1.2337662337662338,3.2467532467532467,1.2987012987012987,0.4545454545454546,5.12987012987013,2.6875,80
2004,Harper,Alexander,20.7,10.93282020796179,15,3.7741935483870965,0.4845924453280318,0.5218687872763419,0.34791252485089463,3.7741935483870965,2.6129032258064515,0.5806451612903226,4.741935483870967,1.8387096774193548,0.0967741935483871,2.7096774193548385,2.5,76
2004,Moore,Kevin,6.2,12.591979958608487,27,6.467065868263473,0.5338078291814947,0.3855278766310795,0,0.17964071856287425,1.437125748502994,2.874251497005988,2.3353293413173652,0.718562874251497,2.5149700598802394,4.4910179640718555,3.231707317073171,82
2004,Capel,Julian,6.8,12.010937364465786,24,3.8414634146341466,0.4549393414211439,0.3032928942807626,0.25996533795493937,2.5609756097560976,2.926829268292683,1.097560975609756,1.646341463414634,1.097560975609756,0.18292682926829268,1.2804878048780488,2.4025974025974026,77
2005,George,Nick,32.1,28.402968199688207,32,15.715676728334957,0.5618212197159566,0.35505430242272346,0.26106934001670845,1.92794547224927,2.3661148977604674,1.9863680623174294,3.4469328140214217,0.8179162609542356,0.4089581304771178,1.8403115871470301,2.628205128205128,78
2005,Doles,Michael,28.9,27.06467623255767,30,15.48498845265589,0.5793157076205288,0.3110419906687403,0.31363400725764645,2.043879907621247,2.2170900692840645,1.0392609699769053,2.979214780600462,1.28175519630485,0.41570438799076215,3.048498845265589,2.6923076923076925,78
2005,Walker,B.A.,32.4,19.910438992486046,32,11.166827386692383,0.5558115424490266,0.2044695311600046,0.4434972929386015,2.7193828351012534,1.4175506268081004,1.128254580520733,1.9961427193828352,0.7810993249758921,0.11571841851494696,2.256509161041466,2.1621621621621623,74
